Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Labour Costs,2000-03-31T00:00:00,66.7,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2000-06-30T00:00:00,69.5,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2000-09-30T00:00:00,68.3,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2000-12-31T00:00:00,74.2,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2001-03-31T00:00:00,69.1,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2001-06-30T00:00:00,71.9,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2001-09-30T00:00:00,71.3,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2001-12-31T00:00:00,77.4,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2002-03-31T00:00:00,72.3,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2002-06-30T00:00:00,75.1,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2002-09-30T00:00:00,74.3,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2002-12-31T00:00:00,80.8,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2003-03-31T00:00:00,76.4,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2003-06-30T00:00:00,78.7,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2003-09-30T00:00:00,77.2,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2003-12-31T00:00:00,84,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2004-03-31T00:00:00,79.4,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2004-06-30T00:00:00,81.4,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2004-09-30T00:00:00,79,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2004-12-31T00:00:00,86.2,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2005-03-31T00:00:00,81.2,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2005-06-30T00:00:00,84.3,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2005-09-30T00:00:00,80.9,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
Spain,Labour Costs,2005-12-31T00:00:00,88.6,Quarterly,SPAINLABCOS,2015-11-11T18:07:00
