Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Full Time Employment,1987-06-30T00:00:00,11007.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1987-09-30T00:00:00,11295.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1987-12-31T00:00:00,11407.5,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1988-03-31T00:00:00,11388.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1988-06-30T00:00:00,11452.2,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1988-09-30T00:00:00,11686.2,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1988-12-31T00:00:00,11767.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1989-03-31T00:00:00,11821.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1989-06-30T00:00:00,11961.2,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1989-09-30T00:00:00,12190.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1989-12-31T00:00:00,12171.8,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1990-03-31T00:00:00,12212.8,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1990-06-30T00:00:00,12265.3,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1990-09-30T00:00:00,12421.3,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1990-12-31T00:00:00,12429.5,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1991-03-31T00:00:00,12418.2,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1991-06-30T00:00:00,12463.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1991-09-30T00:00:00,12539.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1991-12-31T00:00:00,12403.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1992-03-31T00:00:00,12156.8,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1992-06-30T00:00:00,12148.7,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1992-09-30T00:00:00,12148.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1992-12-31T00:00:00,11865.8,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1993-03-31T00:00:00,11570,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1993-06-30T00:00:00,11524.4,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1993-09-30T00:00:00,11576,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1993-12-31T00:00:00,11423.5,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1994-03-31T00:00:00,11285.1,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1994-06-30T00:00:00,11353,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1994-09-30T00:00:00,11491.7,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1994-12-31T00:00:00,11460.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1995-03-31T00:00:00,11491.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1995-06-30T00:00:00,11566.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1995-09-30T00:00:00,11674.7,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1995-12-31T00:00:00,11625.9,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1996-03-31T00:00:00,11642.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1996-06-30T00:00:00,11769.8,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1996-09-30T00:00:00,12032.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1996-12-31T00:00:00,12079.7,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1997-03-31T00:00:00,12073.3,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1997-06-30T00:00:00,12178.6,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1997-09-30T00:00:00,12398.5,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1997-12-31T00:00:00,12449.3,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
Spain,Full Time Employment,1998-03-31T00:00:00,12526.4,Quarterly,SPAINFULTIMEMP,2015-08-21T16:24:00
