Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Home Ownership Rate,2007-12-31T00:00:00,80.6,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2008-12-31T00:00:00,80.2,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2009-12-31T00:00:00,79.6,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2010-12-31T00:00:00,79.8,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2011-12-31T00:00:00,79.7,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2012-12-31T00:00:00,78.9,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2013-12-31T00:00:00,77.7,yearly,SpainHomOwnRat,2015-06-12T16:42:00
Spain,Home Ownership Rate,2014-12-31T00:00:00,78.8,yearly,SpainHomOwnRat,2015-09-03T16:33:00
Spain,Home Ownership Rate,2015-12-31T00:00:00,78.2,yearly,SpainHomOwnRat,2016-09-07T17:41:00
Spain,Home Ownership Rate,2016-12-31T00:00:00,77.8,yearly,SpainHomOwnRat,2017-07-24T15:26:00
Spain,Home Ownership Rate,2017-12-31T00:00:00,77.1,yearly,SpainHomOwnRat,2018-07-20T11:49:00
