Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Housing Starts,1970-01-31T00:00:00,6.88,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-02-28T00:00:00,8.98,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-03-31T00:00:00,9.27,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-04-30T00:00:00,15.14,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-05-31T00:00:00,18.14,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-06-30T00:00:00,19.69,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-07-31T00:00:00,16.38,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-08-31T00:00:00,10.56,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-09-30T00:00:00,19.19,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-10-31T00:00:00,19.38,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-11-30T00:00:00,17.63,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1970-12-31T00:00:00,19.88,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-01-31T00:00:00,17.19,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-02-28T00:00:00,13.07,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-03-31T00:00:00,13.25,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-04-30T00:00:00,11.68,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-05-31T00:00:00,17.06,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-06-30T00:00:00,15.87,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-07-31T00:00:00,23.94,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-08-31T00:00:00,8.7,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-09-30T00:00:00,13.72,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-10-31T00:00:00,14.21,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-11-30T00:00:00,29.07,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1971-12-31T00:00:00,31.12,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-01-31T00:00:00,12.28,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-02-29T00:00:00,16.04,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-03-31T00:00:00,15.51,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-04-30T00:00:00,12.42,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-05-31T00:00:00,13.45,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-06-30T00:00:00,16.65,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-07-31T00:00:00,14.21,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
Spain,Housing Starts,1972-08-31T00:00:00,8.27,Monthly,SPAINHOUSTA,2015-11-24T18:01:00
