Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Consumer Price Index CPI,1954-03-31T00:00:00,1.84,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-04-30T00:00:00,1.85,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-05-31T00:00:00,1.85,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-06-30T00:00:00,1.84,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-07-31T00:00:00,1.84,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-08-31T00:00:00,1.83,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-09-30T00:00:00,1.84,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-10-31T00:00:00,1.85,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-11-30T00:00:00,1.86,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1954-12-31T00:00:00,1.88,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1955-01-31T00:00:00,1.89,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1955-02-28T00:00:00,1.9,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1955-03-31T00:00:00,1.9,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
Spain,Consumer Price Index CPI,1955-04-30T00:00:00,1.91,Monthly,SPAINCONPRIINDCPI,2014-08-13T08:15:00
