Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Spain,Stock Market,1987-01-05T00:00:00,2201,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-06T00:00:00,2201,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-07T00:00:00,2205.57,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-08T00:00:00,2197.25,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-09T00:00:00,2262.05,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-12T00:00:00,2314.24,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-13T00:00:00,2374.65,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-14T00:00:00,2365.18,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-15T00:00:00,2419.59,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-16T00:00:00,2396.49,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-19T00:00:00,2415.73,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-20T00:00:00,2429.93,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-21T00:00:00,2453.78,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-22T00:00:00,2438.03,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-23T00:00:00,2447.29,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-26T00:00:00,2454.15,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-27T00:00:00,2477.01,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-28T00:00:00,2499.44,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-29T00:00:00,2526.94,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-01-30T00:00:00,2499.9,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-02T00:00:00,2514.44,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-03T00:00:00,2536.93,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-04T00:00:00,2562.33,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-05T00:00:00,2519.44,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-06T00:00:00,2460.24,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-09T00:00:00,2456.98,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-10T00:00:00,2432.68,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-11T00:00:00,2357.6,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-12T00:00:00,2313.89,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-13T00:00:00,2338.96,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-16T00:00:00,2409.49,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-17T00:00:00,2524.16,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-18T00:00:00,2583.66,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-19T00:00:00,2584.38,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-20T00:00:00,2610.41,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-23T00:00:00,2652.91,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-24T00:00:00,2615.23,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-25T00:00:00,2535.36,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-26T00:00:00,2558.61,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-02-27T00:00:00,2612.41,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-02T00:00:00,2624.01,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-03T00:00:00,2560.6,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-04T00:00:00,2549.07,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-05T00:00:00,2529.75,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-06T00:00:00,2495.59,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-09T00:00:00,2482.77,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-10T00:00:00,2440.02,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-11T00:00:00,2399.78,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-12T00:00:00,2383.39,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-13T00:00:00,2390.5,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-16T00:00:00,2417,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-17T00:00:00,2388.87,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-18T00:00:00,2381.32,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-19T00:00:00,2381.32,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-20T00:00:00,2378.78,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-23T00:00:00,2356.72,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-24T00:00:00,2345.35,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-25T00:00:00,2341.28,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-26T00:00:00,2336.53,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-27T00:00:00,2357.2,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-30T00:00:00,2377.38,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-03-31T00:00:00,2338.09,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-01T00:00:00,2324,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-02T00:00:00,2306.13,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-03T00:00:00,2303.46,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-06T00:00:00,2288.74,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-07T00:00:00,2288.74,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-08T00:00:00,2293.62,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-09T00:00:00,2308.29,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-10T00:00:00,2373.49,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-13T00:00:00,2440.89,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-14T00:00:00,2434.57,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-15T00:00:00,2423.3,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-16T00:00:00,2423.3,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-17T00:00:00,2423.3,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-20T00:00:00,2433.61,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-21T00:00:00,2436.16,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-22T00:00:00,2481.11,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-23T00:00:00,2435.46,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-24T00:00:00,2388.51,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-27T00:00:00,2347.57,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-28T00:00:00,2313.84,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-29T00:00:00,2339.39,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-04-30T00:00:00,2327.23,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-01T00:00:00,2327.23,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-04T00:00:00,2298.34,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-05T00:00:00,2218.8,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-06T00:00:00,2164.96,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-07T00:00:00,2127.44,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-08T00:00:00,2135.55,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-11T00:00:00,2162.27,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-12T00:00:00,2211.44,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-13T00:00:00,2259.56,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-14T00:00:00,2312.23,Daily,IBEX,2014-03-19T15:49:00
Spain,Stock Market,1987-05-15T00:00:00,2312.23,Daily,IBEX,2014-03-19T15:49:00
