LOCATIONID;LOCATIONNAME;WKT
0-EU-ES-28-07-001-079-03;Retiro;POLYGON ((-3.69423 40.4153, -3.69206 40.40899, -3.68884 40.40676, -3.68354 40.40513, -3.68477 40.40299, -3.67703 40.39937, -3.67483 40.39715, -3.67346 40.39446, -3.67162 40.3956, -3.66815 40.39998, -3.66305 40.41089, -3.65987 40.41588, -3.65891 40.41871, -3.66911 40.42118, -3.68 40.42168, -3.6931 40.41946, -3.69423 40.4153))
0-EU-ES-28-07-001-079-02;Arganzuela;POLYGON ((-3.72288 40.41285, -3.72164 40.4091, -3.72256 40.40599, -3.72259 40.40437, -3.72191 40.40148, -3.72124 40.40065, -3.7195 40.39982, -3.71632 40.39996, -3.71437 40.39944, -3.71032 40.39682, -3.70321 40.39442, -3.69768 40.38871, -3.68995 40.38235, -3.68326 40.38428, -3.67897 40.38998, -3.67671 40.39213, -3.67346 40.39438, -3.67484 40.39709, -3.67704 40.39936, -3.68466 40.40299, -3.68345 40.40511, -3.68884 40.40676, -3.69208 40.40897, -3.6924 40.40824, -3.69346 40.40754, -3.70276 40.40497, -3.71168 40.4067, -3.71675 40.40868, -3.71825 40.41119, -3.71691 40.41389, -3.72278 40.41402, -3.72288 40.41285))
0-EU-ES-28-07-001-079-01;Centro;POLYGON ((-3.72278 40.41402, -3.71698 40.41388, -3.71825 40.41118, -3.71677 40.4087, -3.71167 40.4067, -3.70273 40.40497, -3.69346 40.40754, -3.69238 40.40826, -3.69209 40.40901, -3.69427 40.41527, -3.69311 40.41952, -3.69046 40.42502, -3.69592 40.42775, -3.70558 40.42958, -3.71626 40.43062, -3.71091 40.42337, -3.71552 40.42032, -3.72097 40.42003, -3.72278 40.41402))
0-EU-ES-28-07-001-079-21;Barajas;POLYGON ((-3.62784 40.4684, -3.62436 40.46875, -3.62463 40.47023, -3.62354 40.47234, -3.60882 40.47187, -3.60663 40.47163, -3.60282 40.4704, -3.60145 40.47361, -3.60193 40.50169, -3.59318 40.50175, -3.57144 40.51338, -3.55431 40.51163, -3.55534 40.508, -3.55307 40.50021, -3.5415 40.49417, -3.54217 40.48926, -3.53676 40.48663, -3.53621 40.48253, -3.53696 40.4783, -3.53561 40.47669, -3.53227 40.47477, -3.5304 40.47168, -3.52646 40.47006, -3.52523 40.46757, -3.52848 40.46392, -3.52975 40.4597, -3.52853 40.45804, -3.52645 40.45651, -3.52698 40.45449, -3.53218 40.4546, -3.53429 40.45305, -3.53357 40.44957, -3.53206 40.44678, -3.53413 40.44653, -3.53739 40.44739, -3.55765 40.44947, -3.59768 40.45022, -3.60387 40.44983, -3.60479 40.45224, -3.60655 40.45358, -3.61228 40.45543, -3.621 40.4602, -3.62784 40.4684))
0-EU-ES-28-07-001-079-16;Hortaleza;POLYGON ((-3.67344 40.48409, -3.66826 40.48414, -3.66054 40.48305, -3.66565 40.47731, -3.66572 40.47608, -3.66246 40.46407, -3.66207 40.4634, -3.65629 40.45941, -3.64812 40.44951, -3.64553 40.44974, -3.63648 40.44853, -3.62635 40.44955, -3.60389 40.44983, -3.60422 40.45131, -3.60554 40.45296, -3.61228 40.4554, -3.62102 40.46016, -3.62785 40.46838, -3.6243 40.46875, -3.62466 40.47023, -3.62348 40.47239, -3.60883 40.47192, -3.60667 40.47164, -3.6028 40.47035, -3.60145 40.4736, -3.60196 40.5017, -3.60301 40.50163, -3.60521 40.50411, -3.61365 40.5005, -3.61744 40.49928, -3.62706 40.49857, -3.6275 40.49975, -3.63189 40.49946, -3.63566 40.5001, -3.63578 40.50062, -3.63874 40.50213, -3.64814 40.50176, -3.6486 40.50393, -3.65044 40.50677, -3.6533 40.50847, -3.6581 40.50938, -3.65799 40.50538, -3.6585 40.50362, -3.66156 40.50023, -3.67144 40.49165, -3.67258 40.48964, -3.67344 40.48409))
0-EU-ES-28-07-001-079-20;San Blas;POLYGON ((-3.64809 40.44949, -3.64618 40.44755, -3.64036 40.44473, -3.63877 40.44317, -3.6355 40.4386, -3.63795 40.43786, -3.62031 40.41319, -3.61908 40.41486, -3.61753 40.41563, -3.61075 40.4179, -3.61031 40.41326, -3.5973 40.41085, -3.58818 40.40839, -3.58409 40.41421, -3.58312 40.41606, -3.58302 40.41811, -3.58164 40.42068, -3.57795 40.42507, -3.57683 40.42992, -3.57906 40.43318, -3.57501 40.43446, -3.5758 40.43736, -3.57398 40.43803, -3.56836 40.4363, -3.56629 40.43752, -3.56443 40.43796, -3.55949 40.43839, -3.5531 40.44144, -3.55069 40.44217, -3.54605 40.44258, -3.54113 40.44369, -3.54087 40.44459, -3.53807 40.44427, -3.5383 40.44498, -3.53566 40.44471, -3.53514 40.44498, -3.53572 40.44673, -3.53737 40.44737, -3.55772 40.44945, -3.59763 40.4502, -3.63015 40.44938, -3.63649 40.44852, -3.64552 40.44973, -3.64809 40.44949))
0-EU-ES-28-07-001-079-19;Vicálvaro;POLYGON ((-3.62972 40.39253, -3.62751 40.39693, -3.62602 40.40201, -3.62031 40.41315, -3.61908 40.41486, -3.61073 40.41791, -3.61028 40.41323, -3.59286 40.40983, -3.58817 40.40838, -3.58407 40.41418, -3.58311 40.41606, -3.583 40.41792, -3.58162 40.42068, -3.57797 40.425, -3.57654 40.42432, -3.5769 40.42256, -3.57955 40.41739, -3.57774 40.41364, -3.57303 40.41182, -3.57033 40.41209, -3.56845 40.41295, -3.56454 40.41362, -3.55808 40.41295, -3.55559 40.41217, -3.55202 40.41197, -3.54925 40.41237, -3.54522 40.41108, -3.54313 40.41137, -3.53918 40.41111, -3.53344 40.41409, -3.53055 40.41474, -3.53118 40.41991, -3.52638 40.41679, -3.52518 40.41639, -3.52424 40.41507, -3.52164 40.41321, -3.51897 40.409, -3.51908 40.40549, -3.51787 40.40245, -3.52078 40.39208, -3.52945 40.38949, -3.53269 40.39174, -3.53664 40.39124, -3.54262 40.3932, -3.54895 40.3802, -3.54919 40.37929, -3.54859 40.3771, -3.55003 40.37607, -3.55083 40.37465, -3.55149 40.36794, -3.55205 40.36627, -3.55354 40.36487, -3.55474 40.36445, -3.55596 40.36259, -3.55545 40.35942, -3.55268 40.36154, -3.55334 40.35542, -3.55473 40.35713, -3.56165 40.35936, -3.56987 40.3614, -3.57801 40.36673, -3.58446 40.36734, -3.59943 40.37486, -3.60087 40.37709, -3.59976 40.37757, -3.59881 40.379, -3.59788 40.37965, -3.59919 40.382, -3.60126 40.38313, -3.60183 40.3859, -3.60251 40.38643, -3.60388 40.38685, -3.60608 40.38605, -3.60797 40.38736, -3.61072 40.38841, -3.62972 40.39253))
0-EU-ES-28-07-001-079-18;Villa de Vallecas;POLYGON ((-3.68181 40.36118, -3.67708 40.36061, -3.6694 40.36171, -3.66265 40.36502, -3.65457 40.37054, -3.6526 40.37603, -3.64978 40.37623, -3.6249 40.38202, -3.62532 40.38346, -3.62451 40.3845, -3.62187 40.39081, -3.61069 40.3884, -3.60804 40.38732, -3.60611 40.38602, -3.60388 40.38681, -3.60249 40.38638, -3.60186 40.38592, -3.6013 40.38311, -3.59927 40.38201, -3.59787 40.3796, -3.59884 40.37899, -3.59979 40.3776, -3.60086 40.37708, -3.59943 40.37485, -3.58448 40.36726, -3.57819 40.36669, -3.5699 40.36135, -3.55645 40.35774, -3.55473 40.35711, -3.55335 40.35542, -3.56562 40.34412, -3.57159 40.33249, -3.58253 40.32428, -3.58502 40.32048, -3.58331 40.31831, -3.57612 40.31514, -3.59724 40.31219, -3.59935 40.3122, -3.61072 40.3144, -3.61534 40.31818, -3.62646 40.32037, -3.63321 40.3228, -3.64891 40.33334, -3.65742 40.32928, -3.65883 40.33373, -3.66087 40.33569, -3.6617 40.33796, -3.66321 40.33961, -3.66347 40.34182, -3.66472 40.34396, -3.66953 40.34521, -3.66907 40.34795, -3.66988 40.34948, -3.67244 40.35011, -3.67324 40.35085, -3.67396 40.35305, -3.67639 40.35412, -3.67741 40.35718, -3.68007 40.35882, -3.68181 40.36118))
0-EU-ES-28-07-001-079-17;Villaverde;POLYGON ((-3.72482 40.33381, -3.72276 40.33294, -3.72004 40.3309, -3.71294 40.32747, -3.7123 40.32372, -3.7033 40.322, -3.69646 40.32217, -3.69328 40.32018, -3.68777 40.32192, -3.68471 40.32225, -3.68363 40.32329, -3.682 40.32363, -3.68064 40.32468, -3.68048 40.32572, -3.67902 40.32647, -3.67024 40.32522, -3.66348 40.32944, -3.66156 40.3278, -3.6582 40.32787, -3.65751 40.32925, -3.65888 40.33376, -3.66093 40.33569, -3.6618 40.33795, -3.66323 40.33951, -3.66352 40.34176, -3.66477 40.34393, -3.66955 40.34514, -3.66911 40.34787, -3.66989 40.34945, -3.67245 40.35011, -3.67325 40.35084, -3.67397 40.35305, -3.67643 40.35407, -3.67746 40.3572, -3.68008 40.35878, -3.68184 40.36119, -3.68896 40.36368, -3.69399 40.36448, -3.70352 40.36352, -3.72071 40.36477, -3.72482 40.33381))
0-EU-ES-28-07-001-079-15;Ciudad Lineal;POLYGON ((-3.67446 40.47856, -3.67398 40.47459, -3.67277 40.47216, -3.66787 40.46565, -3.66468 40.4593, -3.66343 40.45513, -3.66235 40.44858, -3.65947 40.44186, -3.6592 40.4394, -3.66079 40.43136, -3.65889 40.4187, -3.64397 40.41457, -3.6403 40.41439, -3.63231 40.41519, -3.62875 40.41471, -3.62543 40.41355, -3.62037 40.41306, -3.6379 40.43781, -3.63548 40.43858, -3.63951 40.44407, -3.64643 40.44772, -3.65629 40.45942, -3.66206 40.4634, -3.66246 40.46407, -3.6657 40.47607, -3.66564 40.47727, -3.66046 40.48306, -3.66826 40.48413, -3.67344 40.48406, -3.67446 40.47856))
0-EU-ES-28-07-001-079-08;Fuencarral;POLYGON ((-3.88834 40.57114, -3.88491 40.57458, -3.88355 40.57894, -3.88393 40.58361, -3.88367 40.58551, -3.87416 40.59124, -3.86811 40.59237, -3.85862 40.58807, -3.84151 40.59238, -3.8363 40.59152, -3.8265 40.59468, -3.8146 40.59488, -3.80605 40.59967, -3.81284 40.60779, -3.81255 40.61194, -3.80639 40.61302, -3.8046 40.61272, -3.79461 40.61485, -3.79147 40.61892, -3.78873 40.62054, -3.78486 40.62181, -3.78258 40.62196, -3.78326 40.62056, -3.78104 40.61787, -3.78032 40.61781, -3.77976 40.61837, -3.77381 40.61705, -3.77205 40.61628, -3.77154 40.61249, -3.77008 40.61114, -3.76901 40.61175, -3.7686 40.61263, -3.76565 40.61327, -3.75793 40.6105, -3.75725 40.61078, -3.75723 40.61162, -3.75642 40.61229, -3.75238 40.61096, -3.74851 40.61119, -3.74467 40.61015, -3.74392 40.60941, -3.74211 40.61101, -3.74 40.61084, -3.73895 40.61171, -3.73484 40.60605, -3.727 40.59833, -3.71861 40.59647, -3.72243 40.59577, -3.71887 40.58925, -3.71498 40.58678, -3.71098 40.58281, -3.70354 40.58588, -3.6963 40.58991, -3.69154 40.59827, -3.69098 40.60095, -3.68737 40.60691, -3.6851 40.60869, -3.67933 40.61101, -3.66122 40.62233, -3.65088 40.61159, -3.64992 40.60249, -3.64323 40.6017, -3.63968 40.60046, -3.62016 40.60862, -3.61773 40.60997, -3.61784 40.60852, -3.61668 40.6071, -3.61693 40.60546, -3.61595 40.60272, -3.61616 40.60167, -3.61505 40.60077, -3.6087 40.59846, -3.60695 40.59689, -3.60518 40.59647, -3.60486 40.59422, -3.60206 40.59187, -3.60713 40.58512, -3.6165 40.58066, -3.6254 40.57336, -3.64954 40.57749, -3.65444 40.58917, -3.65763 40.5943, -3.66564 40.5927, -3.67432 40.58905, -3.69245 40.58025, -3.70041 40.57869, -3.69089 40.57051, -3.68909 40.57047, -3.68033 40.55458, -3.67782 40.54297, -3.66961 40.53469, -3.67785 40.52667, -3.6724 40.52464, -3.66692 40.52501, -3.65872 40.51248, -3.65601 40.51357, -3.6579 40.51149, -3.65805 40.50537, -3.65852 40.50366, -3.66154 40.5003, -3.67152 40.49164, -3.6731 40.48804, -3.67347 40.48404, -3.67815 40.48393, -3.68499 40.48253, -3.6854 40.48198, -3.68724 40.47416, -3.68943 40.47476, -3.69787 40.47456, -3.70016 40.47498, -3.70119 40.47463, -3.70446 40.47193, -3.71156 40.47115, -3.71257 40.47021, -3.71324 40.46859, -3.71443 40.46968, -3.72537 40.47258, -3.73377 40.47275, -3.74059 40.47426, -3.74945 40.47475, -3.75108 40.47583, -3.75165 40.47888, -3.75763 40.47832, -3.75809 40.47373, -3.76061 40.47281, -3.76262 40.47268, -3.77145 40.47437, -3.78125 40.47439, -3.79072 40.47185, -3.79603 40.46991, -3.79838 40.46967, -3.80419 40.47046, -3.83656 40.47977, -3.83638 40.48063, -3.83316 40.48577, -3.83418 40.49394, -3.83948 40.49951, -3.8366 40.50636, -3.85207 40.50992, -3.85371 40.51244, -3.85158 40.51729, -3.8535 40.52007, -3.85376 40.52495, -3.86325 40.53482, -3.87396 40.55755, -3.88454 40.56141, -3.88387 40.56408, -3.88692 40.5664, -3.88834 40.57114))
