LOCATIONID;LOCATIONNAME;WKT
0-EU-ES-28-07-001-079-14;Moratalaz;POLYGON ((-3.66528 40.40639, -3.65724 40.40583, -3.6551 40.40521, -3.65418 40.40479, -3.64478 40.39654, -3.64286 40.39553, -3.62973 40.39254, -3.62752 40.39692, -3.62604 40.402, -3.62037 40.41305, -3.62545 40.41354, -3.62876 40.41471, -3.63231 40.41518, -3.64031 40.41439, -3.64398 40.41456, -3.65887 40.41867, -3.65985 40.41587, -3.66298 40.41099, -3.66528 40.40639))
0-EU-ES-28-07-001-079-09;Moncloa;POLYGON ((-3.83758 40.47266, -3.83608 40.47507, -3.83747 40.47549, -3.83665 40.47974, -3.80412 40.47035, -3.79833 40.4696, -3.79598 40.46986, -3.79062 40.47182, -3.78128 40.47436, -3.77146 40.47437, -3.76269 40.47264, -3.76057 40.47274, -3.75809 40.47367, -3.75761 40.47829, -3.75158 40.47886, -3.75114 40.47581, -3.74863 40.4744, -3.74061 40.47425, -3.73378 40.47272, -3.72616 40.47268, -3.71442 40.46967, -3.71048 40.46571, -3.70837 40.46227, -3.71315 40.45492, -3.70847 40.44717, -3.71445 40.44579, -3.71821 40.4467, -3.71998 40.44489, -3.71981 40.44374, -3.71759 40.43943, -3.71842 40.43477, -3.71735 40.43324, -3.71791 40.43288, -3.71089 40.42339, -3.71553 40.42032, -3.72046 40.42027, -3.72098 40.42001, -3.7219 40.4174, -3.73794 40.41141, -3.74181 40.40926, -3.74288 40.40945, -3.75044 40.40841, -3.75598 40.40573, -3.757 40.40562, -3.75996 40.40398, -3.762 40.40136, -3.76509 40.39903, -3.77432 40.40019, -3.77419 40.40211, -3.77606 40.40401, -3.77663 40.40583, -3.77795 40.4074, -3.77872 40.40925, -3.77926 40.41276, -3.78074 40.41496, -3.78107 40.41716, -3.78021 40.42161, -3.77903 40.42404, -3.77059 40.42943, -3.77077 40.44409, -3.77978 40.44402, -3.78465 40.44441, -3.78632 40.44352, -3.79018 40.44235, -3.78897 40.44567, -3.79003 40.44565, -3.79039 40.44754, -3.79105 40.44759, -3.7914 40.44957, -3.79242 40.45202, -3.7935 40.4533, -3.79306 40.4538, -3.79433 40.45554, -3.79563 40.45642, -3.79537 40.45713, -3.79581 40.45786, -3.79903 40.45905, -3.80234 40.46197, -3.81 40.46411, -3.81529 40.46364, -3.82896 40.46635, -3.83512 40.46432, -3.83734 40.46647, -3.83678 40.47069, -3.83758 40.47266))
0-EU-ES-28-07-001-079-13;Puente de Vallecas;POLYGON ((-3.68988 40.38236, -3.68327 40.38426, -3.67895 40.38998, -3.6767 40.39211, -3.67163 40.3956, -3.66837 40.39955, -3.66528 40.40638, -3.65722 40.40582, -3.65419 40.40479, -3.64478 40.39654, -3.64284 40.39553, -3.62188 40.39081, -3.62451 40.38448, -3.62531 40.38346, -3.62487 40.38203, -3.64981 40.37624, -3.6526 40.37605, -3.65457 40.37055, -3.65533 40.36982, -3.66269 40.36502, -3.66941 40.36172, -3.67429 40.3609, -3.67887 40.36062, -3.68189 40.36125, -3.6831 40.36451, -3.68258 40.36573, -3.68164 40.36637, -3.68232 40.37003, -3.6828 40.37067, -3.68616 40.37193, -3.68762 40.37463, -3.68726 40.37698, -3.68988 40.38236))
0-EU-ES-28-07-001-079-12;Usera;POLYGON ((-3.72072 40.36478, -3.70365 40.36356, -3.69395 40.36451, -3.68895 40.36368, -3.6819 40.36125, -3.68312 40.36453, -3.68263 40.36571, -3.68165 40.36634, -3.68169 40.36722, -3.68279 40.37067, -3.68619 40.37198, -3.68761 40.3746, -3.68727 40.37697, -3.68988 40.38231, -3.69769 40.3887, -3.70321 40.39441, -3.70471 40.39499, -3.70809 40.39154, -3.713 40.38943, -3.71774 40.38484, -3.71884 40.38098, -3.72072 40.36478))
0-EU-ES-28-07-001-079-11;Carabanchel;POLYGON ((-3.78023 40.36192, -3.75764 40.35733, -3.7346 40.36227, -3.72683 40.36434, -3.72073 40.36478, -3.71885 40.38099, -3.71771 40.38483, -3.71302 40.38944, -3.70809 40.39155, -3.70471 40.395, -3.71032 40.39681, -3.71439 40.39943, -3.71632 40.39995, -3.72033 40.40002, -3.72193 40.40147, -3.72261 40.40457, -3.72478 40.40454, -3.72481 40.40551, -3.72541 40.40544, -3.73757 40.39633, -3.73875 40.39465, -3.74293 40.39123, -3.74474 40.38794, -3.75248 40.38371, -3.75591 40.38368, -3.75915 40.38417, -3.75927 40.38369, -3.75808 40.38248, -3.75582 40.37848, -3.75667 40.3782, -3.758 40.3755, -3.76193 40.37446, -3.76232 40.37266, -3.77075 40.37396, -3.77157 40.37099, -3.76629 40.36994, -3.76704 40.36618, -3.77153 40.36547, -3.77166 40.36277, -3.77462 40.3613, -3.7774 40.36433, -3.78023 40.36192))
0-EU-ES-28-07-001-079-10;Latina;POLYGON ((-3.83298 40.39571, -3.83276 40.39456, -3.82318 40.38085, -3.82117 40.3791, -3.81296 40.36974, -3.8107 40.36397, -3.807 40.36661, -3.80293 40.36336, -3.79776 40.3619, -3.79442 40.36147, -3.78762 40.35866, -3.78208 40.36144, -3.78024 40.36192, -3.77744 40.36429, -3.7747 40.36128, -3.77163 40.36278, -3.77148 40.36548, -3.76704 40.36614, -3.76627 40.37, -3.77149 40.37099, -3.77075 40.37391, -3.76225 40.37265, -3.76191 40.37445, -3.75798 40.37551, -3.7567 40.37817, -3.75582 40.37844, -3.75807 40.38246, -3.75925 40.38366, -3.75912 40.38413, -3.75349 40.38354, -3.75126 40.38422, -3.74542 40.38784, -3.7447 40.38794, -3.74294 40.39123, -3.73878 40.39463, -3.7371 40.39676, -3.72594 40.40515, -3.7249 40.4055, -3.72487 40.40454, -3.72262 40.40457, -3.72259 40.40597, -3.72166 40.40913, -3.72288 40.41287, -3.7219 40.4174, -3.7379 40.41141, -3.74177 40.40926, -3.74286 40.40945, -3.75043 40.4084, -3.75993 40.40398, -3.76201 40.40137, -3.76509 40.39901, -3.77434 40.40017, -3.778 40.39947, -3.77814 40.39752, -3.77959 40.3968, -3.7801 40.39577, -3.78184 40.39407, -3.78917 40.39215, -3.78905 40.39389, -3.79616 40.39227, -3.81008 40.39224, -3.81936 40.3964, -3.83298 40.39571))
0-EU-ES-28-07-001-079-07;Chamberí;POLYGON ((-3.71997 40.44493, -3.71979 40.44373, -3.71771 40.44004, -3.71841 40.43474, -3.7174 40.43329, -3.71799 40.433, -3.71627 40.43063, -3.70558 40.42959, -3.69595 40.42776, -3.69045 40.42502, -3.68843 40.43304, -3.68882 40.43521, -3.6907 40.43799, -3.69168 40.44078, -3.69119 40.44621, -3.70847 40.44717, -3.71448 40.44578, -3.71824 40.4467, -3.71997 40.44493))
0-EU-ES-28-07-001-079-06;Tetuán;POLYGON ((-3.71323 40.46858, -3.70929 40.46426, -3.7084 40.4623, -3.71315 40.45494, -3.70847 40.44718, -3.69118 40.44621, -3.68936 40.46603, -3.68724 40.47416, -3.68939 40.47475, -3.69785 40.47456, -3.70016 40.47497, -3.70119 40.47462, -3.70446 40.47193, -3.71156 40.47115, -3.71259 40.47017, -3.71323 40.46858))
0-EU-ES-28-07-001-079-05;Chamartín;POLYGON ((-3.69168 40.44077, -3.69069 40.43801, -3.6775 40.43746, -3.6749 40.43883, -3.67038 40.43995, -3.66401 40.44351, -3.66055 40.44463, -3.66236 40.44858, -3.66345 40.45519, -3.66469 40.45931, -3.66791 40.46566, -3.67279 40.47217, -3.674 40.47461, -3.67447 40.47853, -3.67348 40.48401, -3.67815 40.48393, -3.68505 40.48254, -3.68539 40.48201, -3.68935 40.46603, -3.69168 40.44077))
0-EU-ES-28-07-001-079-04;Salamanca;POLYGON ((-3.69308 40.41947, -3.69045 40.42502, -3.68842 40.43306, -3.68881 40.4352, -3.6907 40.43802, -3.6775 40.43746, -3.67489 40.43883, -3.67039 40.43995, -3.66401 40.44351, -3.66056 40.44462, -3.65948 40.44186, -3.65919 40.43993, -3.66079 40.43135, -3.6589 40.41871, -3.66891 40.42118, -3.67949 40.42173, -3.69308 40.41947))
