LOCATIONID;LOCATIONNAME;WEALTH_IDX;AREA;POPULATION;DENSITY;I_COMMERCE;I_INDUSTRY;I_OFFICE;I_OTHER;I_RESIDENTIAL;I_STORAGE_AND_PARKING;BEFORE_1960;N_1960_1969;N_1970_1979;N_1980_1989;N_1990_1999;N_2000_2010;SHOP;TOURIST;FOOD;GROSS_YIELD;HOMOGENEITY
0-EU-ES-28-07-001-079-03;Retiro;1.3702377535437853;541.9200857704159;148171;273.4185424947924;0.02975126637899539;0.0016490081265490308;0.02089401913639371;0.01874142170173689;0.5948673387773642;0.3340969458789608;20688;12923;20499;14609;12336;9763;164;62;94;3.115220483641535;0.6528534453048095
0-EU-ES-28-07-001-079-02;Arganzuela;1.0006961502415912;649.7878769969268;174725;268.8954444756844;0.03354204537803811;0.002645930115128257;0.012529455328889787;0.0133575708611055;0.5428061671042888;0.39511883121254965;25868;14327;15998;8634;27018;43550;169;31;164;3.624912584157147;0.7804071470522898
0-EU-ES-28-07-001-079-01;Centro;1.1289717432775515;517.7162037746489;177298;342.46175550876546;0.0680914640402175;0.001032368934030984;0.0388324612701344;0.047585154406484045;0.63689468554427;0.20756386580486302;73299;5223;15526;15117;9005;10897;1075;262;1693;3.2782299306763645;0.7250632643147141
0-EU-ES-28-07-001-079-21;Barajas;1.1790898033811652;3908.6656810541604;74033;18.94073477781641;0.016189176898590268;0.0026011823556161893;0.016043656207366985;0.034852205547976356;0.47154160982264665;0.45877216916780356;896;3715;9655;3134;6891;22654;18;51;53;3.0845070422535197;0.741665710892137
0-EU-ES-28-07-001-079-16;Hortaleza;1.1372970024309756;2677.4085759053028;207809;77.6157221091048;0.017343368612093773;0.0037656558598166668;0.016217553973591883;0.03038243729163937;0.4648886559617223;0.467402328301136;3330;15892;29204;11849;30309;67962;96;15;126;3.63959922787021;0.67413061386141
0-EU-ES-28-07-001-079-20;San Blas;0.8513410010291607;2219.6969363646217;192832;86.87312075846563;0.02358992442712355;0.011515287851796908;0.033822358141259876;0.05035354487253537;0.47088042705059063;0.40983845765669363;2858;24279;18248;8757;38363;47929;88;18;59;3.759323719542516;0.7489880601631893
0-EU-ES-28-07-001-079-19;Vicálvaro;0.753202846128596;3514.996000182209;102285;29.099606370732083;0.020055491887327342;0.004357922673261355;0.009454731889740033;0.015426141504312684;0.4724199288256228;0.4782857832197358;261;10065;4309;980;14508;29523;74;9;29;2.997584541062803;0.8233964775816333
0-EU-ES-28-07-001-079-18;Villa de Vallecas;0.6603928570862228;5161.269400784811;111236;21.55206236339566;0.01807238794955475;0.01794939075389081;0.008904996966069174;0.015489446840612034;0.4306049822064057;0.5089787952834676;943;3735;12768;5711;8502;61812;67;18;59;4.924805339265851;0.7758939146644441
0-EU-ES-28-07-001-079-17;Villaverde;0.6505690512851822;2003.3260218967632;160695;80.21410306838267;0.03006255741720985;0.02142700905551424;0.01775230762500547;0.015774968283826938;0.5613368913775756;0.3536462662408679;5108;25379;13746;7908;17121;28481;133;10;71;3.3088043478260865;0.7148846741024693
0-EU-ES-28-07-001-079-15;Ciudad Lineal;0.824933278994499;1144.5852704267588;270836;236.6236985550397;0.040647818076483454;0.003940562743675527;0.012891642353481527;0.021701801176427605;0.6028747840519424;0.3179433915979895;17874;50270;34809;20453;28143;21598;168;19;100;3.6032834820415967;0.6825702389762078
0-EU-ES-28-07-001-079-08;Fuencarral;1.2220148395762205;23998.40809081113;289902;12.08005126435874;0.023109260584041346;0.00286956731426183;0.009283894252023568;0.028808205194157978;0.4784219791172664;0.45750709353824887;4513;28009;36367;32229;25966;88702;186;28;236;4.172023984902358;0.7002296711815342
