LOCATIONID;LOCATIONNAME;WEALTH_IDX;AREA;POPULATION;DENSITY;I_COMMERCE;I_INDUSTRY;I_OFFICE;I_OTHER;I_RESIDENTIAL;I_STORAGE_AND_PARKING;BEFORE_1960;N_1960_1969;N_1970_1979;N_1980_1989;N_1990_1999;N_2000_2010;SHOP;TOURIST;FOOD;GROSS_YIELD;HOMOGENEITY
0-EU-ES-28-07-001-079-14;Moratalaz;0.7126088824964995;610.7399043154276;117486;192.3666673322892;0.026280897151390807;7.815880193722173e-4;0.004131250959538863;0.01571550196094851;0.6354729305363648;0.3176178313723848;941;19689;17249;6690;18473;4543;167;3;52;3.32942064287479;0.7193208573671097
0-EU-ES-28-07-001-079-09;Moncloa;1.6583250212888772;4647.242283927379;178617;38.43505224975079;0.024734905234985238;0.0017309342681348092;0.012502000029091333;0.08410304149878543;0.5249676358928858;0.35196148307611747;15037;17093;16195;14715;24762;25644;127;120;207;3.07286166842661;0.7170982016957884
0-EU-ES-28-07-001-079-13;Puente de Vallecas;0.6649550991022992;1493.2392733181687;265338;177.69288870254866;0.044640393568120044;0.005107462178361972;0.003469551893576926;0.01806397830209171;0.66667645107697;0.2620421629808793;20601;26103;18651;35006;31886;23479;26;13;34;3.7;0.671040005936135
0-EU-ES-28-07-001-079-12;Usera;0.6153365545478909;777.7488916253739;160510;206.3776647300122;0.0416501702430913;0.003602818908860559;0.005810040383244912;0.013451183783355768;0.6242675587932536;0.31121822788819387;11736;14993;11473;14036;10297;30431;84;21;26;3.1987249561359197;0.6929479656111275
0-EU-ES-28-07-001-079-11;Carabanchel;0.638181065664887;1481.7351475613311;285427;192.630241963121;0.035956719115407786;0.010047009378157478;0.006916213254652316;0.014709998149984109;0.5951690867088217;0.33720097339297656;18081;44035;30544;13319;14817;67726;112;19;107;3.3053650559574015;0.6936385478873917
0-EU-ES-28-07-001-079-10;Latina;0.6086097451519241;2453.191379358729;266648;108.69433271435288;0.040355353936300915;0.002209148473679236;0.00945680937529534;0.0166985634628107;0.6904711274926756;0.24080899725923827;11986;56778;37353;10933;23997;13948;161;27;207;3.4852097444852363;0.6997720059477532
0-EU-ES-28-07-001-079-07;Chamberí;1.4094663746747202;468.4031963044953;165062;352.39298387002896;0.046484836477572074;0.0018637961271197013;0.03329884576720159;0.030870040577923554;0.6233077244810356;0.2641747565691476;46146;19754;24518;13645;8398;5855;322;45;371;4.697765742471086;0.7111107014721163
0-EU-ES-28-07-001-079-06;Tetuán;0.9387895231767286;536.8268717442544;192181;357.9943741928692;0.04138407787306392;0.005698484763559592;0.02412669942516924;0.025397181274094002;0.5711376417614857;0.3322559149026275;25821;23153;25089;13915;21426;28682;587;39;312;3.8134615384615387;0.7232156910311314
0-EU-ES-28-07-001-079-05;Chamartín;1.4661447389912323;913.7352992418897;168862;184.80406758948885;0.03813908790349764;0.003392212970732302;0.03406556365957386;0.03432374477362536;0.5716201582076493;0.31845923248492153;15681;29377;31878;20996;8867;11270;181;26;192;3.2945759172132205;0.6635974403382557
0-EU-ES-28-07-001-079-04;Salamanca;1.5088366679299918;538.3626808924847;176349;327.56542431145647;0.0570913863998607;0.002464472750164075;0.03610988333936058;0.024249608229195967;0.5966970707598345;0.28338757852158425;51069;22606;21979;11397;7744;13705;146;47;242;3.9102865194927197;0.6476288038690075
